Date,Open_NYAD,High_NYAD,Low_NYAD,Close_NYAD,Volume_NYAD,Open_NYMO,High_NYMO,Low_NYMO,Close_NYMO,Volume_NYMO
2018-05-15,1467.63,1467.63,1467.63,1467.63,0.0,10.7600002,10.7600002,10.7600002,10.7600002,0.0
2018-05-16,1474.01001,1474.01001,1474.01001,1474.01001,0.0,48.3100014,48.3100014,48.3100014,48.3100014,0.0
2018-05-17,1475.60999,1475.60999,1475.60999,1475.60999,0.0,47.1100006,47.1100006,47.1100006,47.1100006,0.0
2018-05-18,1475.43994,1475.43994,1475.43994,1475.43994,0.0,35.9000015,35.9000015,35.9000015,35.9000015,0.0
2018-05-21,1484.31995,1484.31995,1484.31995,1484.31995,0.0,83.7900009,83.7900009,83.7900009,83.7900009,0.0
2018-05-22,1479.84998,1479.84998,1479.84998,1479.84998,0.0,34.0099983,34.0099983,34.0099983,34.0099983,0.0
2018-05-23,1480.31006,1480.31006,1480.31006,1480.31006,0.0,27.3899994,27.3899994,27.3899994,27.3899994,0.0
2018-05-24,1480.01001,1480.01001,1480.01001,1480.01001,0.0,14.3999996,14.3999996,14.3999996,14.3999996,0.0
2018-05-25,1478.66003,1478.66003,1478.66003,1478.66003,0.0,-6.86000013,-6.86000013,-6.86000013,-6.86000013,0.0
2018-05-29,,,,,,-18.4200001,-18.4200001,-18.4200001,-18.4200001,0.0
2018-05-30,1491.23999,1491.23999,1491.23999,1491.23999,0.0,66.6200027,66.6200027,66.6200027,66.6200027,0.0
2018-05-31,1483.35999,1483.35999,1483.35999,1483.35999,0.0,2.43000007,2.43000007,2.43000007,2.43000007,0.0
2018-06-01,1491.57996,1491.57996,1491.57996,1491.57996,0.0,55.1399994,55.1399994,55.1399994,55.1399994,0.0
2018-06-04,1498.14001,1498.14001,1498.14001,1498.14001,0.0,84.3499985,84.3499985,84.3499985,84.3499985,0.0
2018-06-05,1501.06995,1501.06995,1501.06995,1501.06995,0.0,92.9300003,92.9300003,92.9300003,92.9300003,0.0
2018-06-06,1507.47998,1507.47998,1507.47998,1507.47998,0.0,114.129997,114.129997,114.129997,114.129997,0.0
2018-06-07,1507.97998,1507.97998,1507.97998,1507.97998,0.0,100.489998,100.489998,100.489998,100.489998,0.0
2018-06-08,1511.56006,1511.56006,1511.56006,1511.56006,0.0,99.2699966,99.2699966,99.2699966,99.2699966,0.0
2018-06-11,1512.68005,1512.68005,1512.68005,1512.68005,0.0,90.1399994,90.1399994,90.1399994,90.1399994,0.0
2018-06-12,1512.71997,1512.71997,1512.71997,1512.71997,0.0,64.9100037,64.9100037,64.9100037,64.9100037,0.0
2018-06-13,1505.95996,1505.95996,1505.95996,1505.95996,0.0,-5.05000019,-5.05000019,-5.05000019,-5.05000019,0.0
2018-06-14,1507.70996,1507.70996,1507.70996,1507.70996,0.0,-7.23999977,-7.23999977,-7.23999977,-7.23999977,0.0
2018-06-15,1506.37,1506.37,1506.37,1506.37,0.0,-25.3600006,-25.3600006,-25.3600006,-25.3600006,0.0
2018-06-18,1507.71997,1507.71997,1507.71997,1507.71997,0.0,-15.1099997,-15.1099997,-15.1099997,-15.1099997,0.0
2018-06-19,1504.56006,1504.56006,1504.56006,1504.56006,0.0,-47.5400009,-47.5400009,-47.5400009,-47.5400009,0.0
2018-06-20,1508.80005,1508.80005,1508.80005,1508.80005,0.0,-16.9099998,-16.9099998,-16.9099998,-16.9099998,0.0
2018-06-21,1501.66003,1501.66003,1501.66003,1501.66003,0.0,-83.0599976,-83.0599976,-83.0599976,-83.0599976,0.0
2018-06-22,1507.31995,1507.31995,1507.31995,1507.31995,0.0,-32.5600014,-32.5600014,-32.5600014,-32.5600014,0.0
2018-06-25,1496.68005,1496.68005,1496.68005,1496.68005,0.0,-117.809998,-117.809998,-117.809998,-117.809998,0.0
2018-06-26,1500.75,1500.75,1500.75,1500.75,0.0,-76.2099991,-76.2099991,-76.2099991,-76.2099991,0.0
2018-06-27,1491.20996,1491.20996,1491.20996,1491.20996,0.0,-139.050003,-139.050003,-139.050003,-139.050003,0.0
2018-06-28,1493.90002,1493.90002,1493.90002,1493.90002,0.0,-108.720001,-108.720001,-108.720001,-108.720001,0.0
2018-06-29,1496.64001,1496.64001,1496.64001,1496.64001,0.0,-77.1100006,-77.1100006,-77.1100006,-77.1100006,0.0
2018-07-02,1498.68994,1498.68994,1498.68994,1498.68994,0.0,-61.1399994,-61.1399994,-61.1399994,-61.1399994,0.0
2018-07-03,1502.85999,1502.85999,1502.85999,1502.85999,0.0,-19.1200008,-19.1200008,-19.1200008,-19.1200008,0.0
2018-07-05,,,,,,-26.0300007,-26.0300007,-26.0300007,-26.0300007,0.0
2018-07-06,1512.63,1512.63,1512.63,1512.63,0.0,44.9599991,44.9599991,44.9599991,44.9599991,0.0
2018-07-09,1518.65002,1518.65002,1518.65002,1518.65002,0.0,72.4599991,72.4599991,72.4599991,72.4599991,0.0
2018-07-10,1519.57996,1519.57996,1519.57996,1519.57996,0.0,57.5400009,57.5400009,57.5400009,57.5400009,0.0
2018-07-11,1510.71997,1510.71997,1510.71997,1510.71997,0.0,-23.8500004,-23.8500004,-23.8500004,-23.8500004,0.0
2018-07-12,1515.16003,1515.16003,1515.16003,1515.16003,0.0,2.19000006,2.19000006,2.19000006,2.19000006,0.0
2018-07-13,1514.90002,1514.90002,1514.90002,1514.90002,0.0,-12.6400003,-12.6400003,-12.6400003,-12.6400003,0.0
2018-07-16,1508.98999,1508.98999,1508.98999,1508.98999,0.0,-66.6600037,-66.6600037,-66.6600037,-66.6600037,0.0
2018-07-17,1513.55005,1513.55005,1513.55005,1513.55005,0.0,-42.6399994,-42.6399994,-42.6399994,-42.6399994,0.0
2018-07-18,1516.19995,1516.19995,1516.19995,1516.19995,0.0,-29.6800003,-29.6800003,-29.6800003,-29.6800003,0.0
2018-07-19,1519.18005,1519.18005,1519.18005,1519.18005,0.0,-3.46000004,-3.46000004,-3.46000004,-3.46000004,0.0
2018-07-20,1517.34998,1517.34998,1517.34998,1517.34998,0.0,-19.2900009,-19.2900009,-19.2900009,-19.2900009,0.0
2018-07-23,1514.41003,1514.41003,1514.41003,1514.41003,0.0,-45.0900002,-45.0900002,-45.0900002,-45.0900002,0.0
2018-07-24,1513.06995,1513.06995,1513.06995,1513.06995,0.0,-58.7599983,-58.7599983,-58.7599983,-58.7599983,0.0
2018-07-25,1518.28003,1518.28003,1518.28003,1518.28003,0.0,-17.6900005,-17.6900005,-17.6900005,-17.6900005,0.0
2018-07-26,1522.04004,1522.04004,1522.04004,1522.04004,0.0,4.21000004,4.21000004,4.21000004,4.21000004,0.0
2018-07-27,1514.30005,1514.30005,1514.30005,1514.30005,0.0,-54.9099998,-54.9099998,-54.9099998,-54.9099998,0.0
2018-07-30,1511.91003,1511.91003,1511.91003,1511.91003,0.0,-65.4599991,-65.4599991,-65.4599991,-65.4599991,0.0
2018-07-31,1520.09998,1520.09998,1520.09998,1520.09998,0.0,-9.43999958,-9.43999958,-9.43999958,-9.43999958,0.0
2018-08-01,1515.60999,1515.60999,1515.60999,1515.60999,0.0,-52.7099991,-52.7099991,-52.7099991,-52.7099991,0.0
2018-08-02,1519.40002,1519.40002,1519.40002,1519.40002,0.0,-22.6299992,-22.6299992,-22.6299992,-22.6299992,0.0
2018-08-03,1523.16003,1523.16003,1523.16003,1523.16003,0.0,0.0299999993,0.0299999993,0.0299999993,0.0299999993,0.0
2018-08-06,1527.68994,1527.68994,1527.68994,1527.68994,0.0,24.0799999,24.0799999,24.0799999,24.0799999,0.0
2018-08-07,1529.67004,1529.67004,1529.67004,1529.67004,0.0,24.1800003,24.1800003,24.1800003,24.1800003,0.0
2018-08-08,1527.93005,1527.93005,1527.93005,1527.93005,0.0,5.32000017,5.32000017,5.32000017,5.32000017,0.0
2018-08-09,1527.81995,1527.81995,1527.81995,1527.81995,0.0,0.620000005,0.620000005,0.620000005,0.620000005,0.0
2018-08-10,1520.63,1520.63,1520.63,1520.63,0.0,-55.1300011,-55.1300011,-55.1300011,-55.1300011,0.0
2018-08-13,1513.90002,1513.90002,1513.90002,1513.90002,0.0,-99.0400009,-99.0400009,-99.0400009,-99.0400009,0.0
2018-08-14,1522.76001,1522.76001,1522.76001,1522.76001,0.0,-31.75,-31.75,-31.75,-31.75,0.0
2018-08-15,1515.21997,1515.21997,1515.21997,1515.21997,0.0,-83.0,-83.0,-83.0,-83.0,0.0
2018-08-16,1525.30005,1525.30005,1525.30005,1525.30005,0.0,-3.55999994,-3.55999994,-3.55999994,-3.55999994,0.0
2018-08-17,1533.59998,1533.59998,1533.59998,1533.59998,0.0,50.1100006,50.1100006,50.1100006,50.1100006,0.0
